GeneratedAnonCID,ShopsWholeFoods,HouseholdIncome,HouseholdTotal,HealthHelpValueSegment,Customer_long,Customer_lat,Units_Purchased_Sum,Dollars_Purchased_Sum,Wegmans_Brand,Kosher,Organic,Store_lat,Store_long
1,0,0,5,3,-75.54,41.36,803,3430.71,90,11,29,40.71403,-75.28702
2,0,3,4,2,-77.1,43.02,790,2533.81,190,6,20,42.87541,-77.25408
3,0,3,1,1,-76.76,38.87,276,1197.88,76,3,13,38.9209,-76.8501
4,0,5,4,1,-77.27,38.62,393,1957.67,61,6,7,38.63084,-77.288841
5,0,6,3,1,-77.77,43.17,9,57.92,22,1,0,43.16385,-77.6884
6,0,0,2,3,-73.99,40.69,6,20.97,4,0,1,40.698952,-73.979044
7,0,0,1,not reported,-76.56,43.04,9,13.63,47,3,6,43.1557,-76.119
8,0,3,3,3,-74.51,40.27,384,1322.82,95,6,10,40.3074,-74.67511
9,0,2,2,2,-77.14,43.02,1800,7453.36,316,17,18,43.0452,-77.1139
10,0,2,2,3,-77.2,39.09,209,913.43,54,1,5,39.20017,-77.2547
11,0,4,3,1,-74.65,40.57,320,1429.41,53,3,7,40.57372,-74.67051
12,0,0,4,2,-77.67,43.26,1120,4529.21,161,6,18,43.2525,-77.6985
13,0,0,2,3,-75.39,40.65,673,2189.9,125,6,19,40.66536,-75.3883
14,0,3,2,1,-77.4,43.09,13,123.88,135,5,16,43.07076,-77.44436
15,0,0,4,not reported,-77.45,43.14,37,111.45,150,6,33,43.1061,-77.54366
16,0,5,2,3,-76,42.08,1049,6037.62,171,15,75,42.1232,-75.974
17,0,0,7,2,-77.56,43.21,47,116.76,82,5,17,43.19323,-77.5043
18,0,5,2,1,-76.13,43.13,340,1411.28,89,7,6,43.1557,-76.119
19,0,0,2,1,-75.96,43,177,956.1,54,0,6,43.03306,-76.05325
20,0,0,2,2,,,24,70.44,54,6,5,42.797626,-77.78252
21,0,6,3,3,-77.28,38.77,417,1701.63,145,8,19,38.74177,-77.16276
22,0,3,4,1,-77.54,43.02,973,3342.79,137,7,15,43.06729,-77.61175
23,0,6,4,3,-74.44,40.82,734,2535.78,143,8,26,40.838,-74.437
24,0,0,5,3,-75.07,40.32,2090,8478.41,224,13,39,40.2303,-75.1319
25,0,0,3,1,-77.64,38.83,76,357.28,103,6,20,38.7842,-77.6524
26,0,4,2,not reported,-77.5,42.77,217,871.59,65,4,4,42.87541,-77.25408
28,0,4,2,1,-77.72,43.1,425,1333.68,114,3,15,43.1031,-77.7458
29,0,0,3,1,-77.64,39.22,652,2297.4,117,13,16,39.0891,-77.5228
30,0,3,2,3,-74.03,41.01,227,667.6,70,1,4,41.049652,-74.060513
31,0,3,2,3,-76.13,36.87,192,871.51,40,1,13,36.842046,-76.140387
32,0,2,5,3,-77.91,40.79,484,1987.83,122,5,11,40.8118,-77.90818
33,0,2,3,2,-76.9,42.91,86,475.98,39,4,2,42.8594,-76.99619
34,0,3,5,3,-77.48,38.24,265,1425.24,59,2,43,38.31317,-77.50863
35,0,0,3,3,-78.81,42.84,343,1166.46,53,1,12,42.83515,-78.78386
36,0,2,2,1,-78.86,42.95,953,4446.36,154,7,31,42.9387,-78.8829
37,0,3,2,3,-75.86,41.29,243,832.94,36,1,15,41.2356,-75.8624
38,0,0,2,2,-78.86,43.08,274,760.63,53,2,6,43.0389,-78.8216
39,0,5,4,3,-75.31,39.73,837,3317.8,191,13,33,39.868387,-75.541097
40,0,0,2,not reported,-77.49,39.08,324,1337.45,99,4,11,39.0891,-77.5228
41,0,3,2,2,-77.72,43.19,420,1351.53,97,5,6,43.20785,-77.70403
42,0,3,1,1,-77.55,38.91,194,788.26,82,5,6,38.87791,-77.44355
43,0,2,1,2,-77.28,42.88,684,2212.82,62,3,2,42.87541,-77.25408
44,0,3,1,1,-76.73,42.27,161,524.83,61,1,12,42.10563,-76.80983
45,0,4,5,2,-78.76,42.97,1173,5029.01,173,5,15,42.977,-78.7378
46,0,3,1,not reported,-79.05,37.57,258,721.26,106,4,24,38.009,-78.50025
47,0,3,2,not reported,-77.57,43.13,286,1041.9,129,2,12,43.1061,-77.54366
48,0,3,4,not reported,,,381,1485.51,99,4,8,35.828457,-78.850097
49,0,1,1,1,-77.78,42.25,160,561.85,50,0,6,42.3487,-77.6704
50,0,6,6,3,-77.51,39.01,579,2254.28,175,9,18,39.00691,-77.44081
51,0,0,2,1,-77.45,38.89,90,385.84,29,2,4,38.87791,-77.44355
52,1,0,1,3,-76.33,40.02,31,160.94,23,0,6,40.061247,-76.340245
53,0,0,2,2,,,428,2086.11,85,2,11,40.57372,-74.67051
54,0,3,4,1,-78.87,43.03,800,2971.63,145,9,18,43.0389,-78.8216
55,0,6,4,3,-77.51,39.1,2331,8514.72,241,15,42,39.0891,-77.5228
56,1,5,4,3,,,97,429.11,39,7,20,39.00691,-77.44081
58,0,4,2,3,-76.49,43.1,729,2932.68,186,7,18,43.0472,-76.2262
59,0,0,4,2,-77.53,43.19,45,153.31,73,3,7,43.06729,-77.61175
60,0,3,2,2,-77.68,43.24,17,55.89,8,0,2,43.22629,-77.66106
61,0,0,3,3,-71.52,42.16,310,1347.55,50,0,11,42.29133,-71.67102
62,1,4,5,3,-74.35,40.4,619,2828.09,103,3,61,40.28995,-74.29835
63,0,5,4,1,-77.49,37.66,596,3045.36,134,2,22,37.66305751,-77.63599813
64,0,4,6,1,-77.6,38.81,272,1212.74,59,6,3,38.7842,-77.6524
65,0,0,2,1,-76.17,43.11,215,809.77,76,4,5,43.12255,-76.16932
66,0,5,4,1,,,497,3084.08,91,3,14,42.29133,-71.67102
67,0,3,7,1,-79.23,42.1,248,1073.77,66,2,6,42.09373,-79.29009
68,0,5,4,2,-78.58,42.76,13,90.87,7,0,0,42.883,-78.7002
69,0,3,3,1,-76.4,39.33,63,319.83,21,1,2,39.46635,-76.3084
70,0,3,2,not reported,-78.04,43.1,65,184.19,122,4,6,43.1061,-77.54366
71,1,4,1,1,-74.92,39.89,56,192,37,3,7,39.92248,-75.03552
72,0,3,4,3,-76.88,39.2,757,2444.91,107,8,24,39.1856,-76.8215
73,0,0,6,3,-76.65,39.42,1015,4280.09,149,11,38,39.4967,-76.656
74,0,2,1,not reported,-78.75,42.85,373,1045.63,101,4,11,42.883,-78.7002
75,0,3,3,3,-76.74,39.26,4,42.51,1,0,0,39.1856,-76.8215
76,0,3,3,2,-75.88,41.23,87,260.3,31,1,2,41.2356,-75.8624
77,0,0,4,not reported,-77.35,43.21,816,4472.6,300,17,78,43.19323,-77.5043
78,0,0,3,2,-75.5,38.98,17,92.24,65,0,11,38.31317,-77.50863
79,0,0,4,3,-77.57,43,173,723.08,63,1,12,43.06729,-77.61175
80,0,3,2,2,-78.84,42.75,376,1401.9,111,6,7,42.783316,-78.812274
81,0,0,4,not reported,-77.33,38.69,20,123.72,133,3,74,38.009,-78.50025
82,0,0,2,2,-76.02,43.06,486,1817.92,107,7,18,43.03306,-76.05325
83,1,5,2,3,-74.01,40.19,792,3004.62,118,6,23,40.239108,-74.03991
84,0,3,2,3,-76.6,39.07,588,3252.61,83,1,43,39.03229,-76.68869
85,0,3,3,3,-78.56,37.68,203,656.86,41,2,10,38.009,-78.50025
86,0,0,4,3,-75.66,40.04,556,2331.15,94,5,18,40.01648,-75.6786
87,0,2,1,not reported,-77.64,43.12,7,29.86,25,1,2,43.20747,-77.6015
88,0,5,4,3,-76.6,39.47,267,1115.05,81,4,22,39.4967,-76.656
89,0,3,4,1,-78.7,42.9,739,3636.87,208,9,31,42.883,-78.7002
90,0,0,1,not reported,-77.4,38.91,92,500.24,41,3,3,38.87791,-77.44355
92,1,6,4,1,-71.12,42.42,1015,4391.7,160,5,15,42.40669,-71.091868
93,0,3,2,2,-76.57,42.91,632,2373.87,97,9,8,42.9314,-76.5654
